family,training_observations,train_mse,validation_mse
quadratic,1000,4.883572307282324,5.027653626674694
ridge,1000,4.907803563619911,5.055264228644641
forest,1000,5.176899656115427,5.881379814502274
boost,1000,4.398534158463375,5.440985244616236
neural,1000,4.911543018049477,5.154583263300737
quadratic,3000,4.949904010827821,4.981861503709281
ridge,3000,4.959878943647995,4.987182465349163
forest,3000,4.724717267512609,5.318359781295969
boost,3000,4.6528303859429245,5.181072246643104
neural,3000,4.942536696091923,4.996700860627092
quadratic,9347,4.889144865508732,4.9821442733320245
ridge,9347,4.892878027564161,4.980400806960955
forest,9347,4.631036458274055,5.107265083642498
boost,9347,4.783676294900779,5.073329622427164
neural,9347,4.882457428791074,4.989604374563022
