method,scaled,lr,objective,closed_form_objective,objective_gap,seconds,updates
gd,True,0.03,2.64723850336007,2.5391869538920537,0.1080515494680161,0.2493422500010638,400
sgd,True,0.03,2.5502274411757653,2.5391869538920537,0.011040487283711542,0.4123549579999235,14800
momentum,True,0.03,2.542132346186517,2.5391869538920537,0.0029453922944631117,0.30886200000168174,14800
nesterov,True,0.03,2.543283572403597,2.5391869538920537,0.004096618511543415,0.30331270799797494,14800
gd,False,0.003,18.34008545194168,3.1177130072020516,15.222372444739626,0.11669474999871454,400
gd,False,0.03,14.01897130132377,3.1177130072020516,10.901258294121718,0.11409645900130272,400
gd,False,0.3,5.057501255850097,3.1177130072020516,1.9397882486480453,0.11392070899819373,400
gd,True,0.003,5.5616640380669855,2.5391869538920537,3.0224770841749318,0.11339066599975922,400
gd,True,0.03,2.64723850336007,2.5391869538920537,0.1080515494680161,0.10747616600201582,400
gd,True,0.3,2.596768803904115,2.5391869538920537,0.057581850012061064,0.10330566699849442,400
